,fecha,Departamento,Ciudad,producto,precio
0,2022-01-01,Antioquia,Medellin,V3,12000000
1,2022-04-22,Antioquia,Medellin,Mini MATT,5800000
2,2022-05-09,Antioquia,Medellin,V4,0
3,2022-05-27,Antioquia,Medellin,V4,0
4,2022-05-28,Huila,Garzon,V4,9000000
5,2022-06-04,Antioquia,Medellin,V4,0
6,2022-08-01,Antioquia,Medellin,V6,0
7,2022-08-10,Antioquia,Sabaneta,V3,8000000
8,2022-08-19,Antioquia,Medellin,V4,0
9,2022-09-01,Antioquia,Medellin,V6,0
10,2022-12-31,Antioquia,Medellin,TP,72800000
11,2023-01-01,Antioquia,Medellin,V6,0
12,2023-01-16,Antioquia,Medellin,V6,11500000
13,2023-01-27,Antioquia,Envigado,V6,9000000
14,2023-03-23,Antioquia,Medellin,V6,9900000
15,2023-04-12,Bogota,Bogota,V3,0
16,2023-04-17,Antioquia,Medellin,V3,7000000
17,2023-05-26,Antioquia,Itagui,V6,9900000
18,2023-06-06,Antioquia,Medellin,V6,9900000
19,2023-06-09,Santa Marta,Santa Marta,V6,9900000
20,2023-06-28,Antioquia,Medellin,V3,7000000
21,2023-07-10,Antioquia,Medellin,V3,0
22,2023-08-05,Bogota,Bogota,V6,5000000
23,2023-08-29,Antioquia,Medellin,V3,0
24,2023-09-19,Antioquia,Medellin,V6,9900000
25,2023-09-23,Antioquia,Envigado,V6,11200000
26,2023-10-25,Antioquia,Medellin,V6,0
27,2023-10-25,Ibague,La samaria,V6,7920000
28,2023-11-01,Antioquia,Medellin,M1,4462500
29,2023-11-08,Antioquia,Medellin,V6,7920000
30,2023-11-10,Antioquia,San antonio de prado,V6,7920000
31,2023-11-23,Antioquia,Medellin,V6,9900000
32,2023-11-24,Antioquia,Medellin,V6,15345000
33,2023-12-05,Antioquia,Bello,M1,7500000
35,2023-12-11,Antioquia,Medellin,V6,7425000
34,2023-12-11,Antioquia,Medellin,M1,7796250
36,2023-12-15,Antioquia,Bello,V6,7920000
37,2023-12-15,Antioquia,Medellin,V6,15840000
38,2023-12-18,Antioquia,Medellin,V3,0
39,2023-12-28,Antioquia,Medellin,V4,7425000
40,2023-12-28,Huila,La plata,V6,7425000
41,2023-12-30,Antioquia,Rionegro,V6,7920000
42,2024-01-12,Antioquia,Medellin,V6,7920000
43,2024-01-17,Antioquia,La estrella,V4,7920000
44,2024-01-29,Antioquia,Caldas,V3,8910000
45,2024-02-01,Antioquia,Bello,V3,81900
46,2024-02-08,Antioquia,La ceja,V4,8910000
47,2024-02-14,Antioquia,Itagui,V4,9900000
48,2024-02-29,Antioquia,Medellin,V4,9900000
49,2024-03-01,Antioquia,Medellin,V4,8910000
50,2024-03-06,Antioquia,Medellin,V4,9900000
51,2024-03-11,Antioquia,Medellin,V4,8910000
52,2024-03-14,Antioquia,Envigado,V6,8910000
53,2024-04-03,Antioquia,Medellin,V4,9900000
54,2024-04-29,Antioquia,Medellin,V4,8910000
55,2024-04-30,Antioquia,Medellin,V4,8910000
56,2024-05-02,Antioquia,Medellin,V6,8910000
57,2024-05-05,Inglaterra,Londres,V6,9000000
58,2024-05-06,Antioquia,Envigado,M1,9355500
59,2024-05-15,Antioquia,Bello,V3,9900000
60,2024-05-23,Valle del cauca,Cali,V3,8910000
61,2024-05-24,Antioquia,Medellin,V3,8910000
62,2024-06-07,Antioquia,Medellin,V4,8910000
63,2024-06-20,Antioquia,Medellin,V4,8910000
64,2024-06-21,Meta,Villavicencio,V6,10400000
65,2024-06-27,Antioquia,Medellin,V4,9900000
66,2024-07-10,Antioquia,Itagui,V4,8000000
67,2024-07-12,Antioquia,Bello,V4,9900000
68,2024-07-16,Antioquia,San Cristobal,V6,9900000
69,2024-07-19,Antioquia,San antonio de prado,V4,9900000
70,2024-07-24,Antioquia,Envigado,V6,8910000
71,2024-07-26,Antioquia,Medellin,V4,9900000
72,2024-07-31,Cauca,Santander de Quilichao,V4,8910000
73,2024-08-02,Antioquia,Bello,V4,9900000
74,2024-08-05,Antioquia,Medellin,M1,8000000
75,2024-08-05,Antioquia,Medellin,M1,8000000
76,2024-08-05,Antioquia,Medellin,M1,8000000
76,2024-08-05,Antioquia,Medellin,M1,8000000
